Perturbation,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nSpiro,nBridgehead,nHetero,BertzCT,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,PNSA1,PPSA1,DPSA1,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,RNCS,RPCS,TASA,TPSA,RASA,RPSA,HybRatio,FCSP3,AETA_beta,ETA_beta_s,AETA_beta_s,ETA_beta_ns,AETA_beta_ns,ETA_beta_ns_d,AETA_beta_ns_d,ETA_eta,AETA_eta,ETA_eta_L,AETA_eta_L,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,nRot,RotRatio,SLogP,SMR,TopoPSA,GGI1,GGI2,Vabc,MW,AMW,WPath,WPol,Zagreb1,dG_exp
02>10,0.0,0.0,0.0,0.0,-4.0,-2.0,0.0,0.0,0.0,-71.35491997221607,-5.0,-3.0,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,-60.734728864423005,-15.548794156587519,45.18593470783549,-0.029005903705824895,0.029005903705824895,-90.90120320074504,-57.851717253628294,0.0106751542213471,0.005804228492581415,7.453079766278903,-5.174668024585827,-79.58899275016381,3.305469729153245,-0.013178720529846031,0.013178720529845964,-0.08049535603715169,-0.08668730650154796,0.043560606060605966,-1.5,-0.009469696969697015,0.0,0.05303030303030298,0.0,0.0018939393939393962,-3.0780297239599115,-0.06197813901623084,-1.1172575871126025,-0.028308974282487187,-63.00000000000002,-0.029218843172331525,0.0,0.0,-4.673586,-2.0064139999999995,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.027777777777777776,-0.3901000000000001,-7.050000000000012,0.0,0.0,0.2777777777777777,-22.23551149997286,-26.015650064000052,0.14419291148500868,-225.0,-6.0,-16.0,1.63
02>12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.359052311264573,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.90288584024279,-24.180848487521416,-60.08373432776421,0.029999950641141637,-0.02999995064114158,42.020366326915735,-18.130781253382338,0.0017986639756860934,0.0010007109062644404,-2.808077621801744,-0.9179476795321476,13.638279323732718,-1.9162419710114875,0.0032253431602868865,-0.003225343160286956,0.0,0.0,0.0008333333333332416,0.75,0.004166666666666653,0.5,-0.0033333333333334107,0.5,0.01916666666666667,1.73669005912949,0.035177389053122836,0.24083528740358065,-0.00025579156181446133,7.009999999999992,0.0,0.0,0.0,1.5132070000000013,-0.4932070000000017,0.0,0.0,0.0,0.0,0.0,0.0,-0.003968253968253968,0.6534000000000006,5.010000000000005,0.0,1.0,0.0,15.211068029906187,33.96102764799991,0.7897913406511616,148.0,2.0,6.0,-0.26
02>24,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.4068602316300485,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-58.22544736658085,33.24763729481504,91.47308466139587,-0.04780244446612625,0.04780244446612636,-68.66950210917332,18.681251559415838,-0.00911029987053727,-0.005195730550277722,3.2665498048688453,4.950551027479406,-43.88049037424128,18.902680302475176,-0.02212491603806044,0.02212491603806023,0.017543859649122806,0.0146198830409357,0.02083333333333326,0.5,0.02083333333333326,0.0,0.0,0.0,0.0,-0.2992735714927015,-0.012469732145529266,-0.0800376260025848,-0.0033349010834410327,0.009999999999990905,0.011074197120708729,1.0,0.0,-1.2367929999999987,0.13679299999999728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.605,-2.2049999999999983,12.889999999999993,0.0,0.0,-6.299224626137459,0.9952489679999416,0.2120248183566389,0.0,0.0,0.0,0.14
02>34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,43.63600067110895,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,37.94825120245309,28.70702804419,-9.241223158263095,0.007986514442353265,-0.007986514442353099,70.68624025710898,68.81922423564015,-0.0053429516058088045,-0.003011815296461384,2.018478104737426,2.831059147906558,75.66092032068241,-9.005641074039275,0.015656297230336014,-0.01565629723033586,0.03421052631578947,0.0368421052631579,-0.02916666666666678,0.5,-0.005833333333333357,0.0,-0.023333333333333317,0.0,-0.0008333333333333318,2.9941662239999265,0.08547643564794027,0.3541469336784289,0.004276674289179465,7.0,-0.030333670374115274,0.0,0.0,3.0035859999999985,2.0064139999999995,0.0,0.0,0.0,0.0,0.0,0.0,-0.003968253968253968,0.39010000000000056,4.617000000000004,0.0,1.0,1.166666666666666,17.295985223857315,14.015650064000056,-0.2111680466290542,116.0,3.0,8.0,0.84
03>07,0.0,0.0,0.0,0.0,-5.0,-2.0,0.0,0.0,0.0,-59.233272265152436,-5.0,-2.0,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,-48.78382378285636,-71.52673925580154,-22.742915472945185,-0.0014102448443829019,0.0014102448443830131,-104.25010163867188,-156.93655091901576,-0.08963927528403197,0.014874287229512506,129.47639453532184,-18.466856984303924,-123.12287548421999,2.812312445561986,-0.01691282963048324,0.016912829630483267,-0.03105590062111802,-0.035196687370600416,0.04601648351648335,-1.0,0.010302197802197877,-0.5,0.0357142857142857,-0.5,-0.017857142857142856,-2.726429885666384,-0.044896053228316364,-0.5284265369037326,-0.004651884488514002,-14.0,0.05111111111111105,0.0,0.0,-5.042378999999997,-3.6056209999999993,0.0,0.0,0.0,0.0,0.0,-1.0,-0.025583982202447158,-0.6135999999999986,-8.757000000000005,3.6599999999999966,-1.0,-0.4444444444444429,-32.38543680148541,-29.015315716000146,0.18226110267575368,-417.0,-4.0,-10.0,0.0
03>32,0.0,0.0,0.0,0.0,-4.0,-2.0,0.0,0.0,-1.0,-61.856989498982564,-4.0,-2.0,-4.0,0.0,0.0,0.0,0.0,-4.0,0.0,31.388690304189023,-122.5391734688876,-153.92786377307664,0.0637788823283656,-0.06377888232836547,-7.988617338191034,-192.5512943244545,-0.08618875753883047,0.01703428020204295,125.95711011334015,-20.84851533129134,-68.8739002480255,-22.27658291667298,0.010687138614823066,-0.010687138614822914,-0.03754940711462451,-0.03952569169960474,0.02678571428571419,-1.5,-0.008928571428571397,-0.5,0.0357142857142857,-0.5,-0.017857142857142856,-2.463865204050673,-0.034797411627712105,-0.44721359549995743,-0.0015283098191380404,-14.01000000000002,0.03999999999999998,-1.0,0.0,-3.805585999999998,-3.742414,0.0,0.0,0.0,0.0,0.0,-1.0,-0.025583982202447158,-0.008599999999997944,-6.5520000000000085,-9.229999999999997,-1.0,-0.4444444444444429,-26.086212175347896,-30.010564684000144,-0.005150269888541281,-417.0,-4.0,-10.0,-0.08
04>10,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-15.202567291888725,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-42.409534009469894,-26.415558228934287,15.993975780535607,-0.014047004565049205,0.01404700456504926,-69.1474569311979,-64.54819136681624,0.007413192239000083,0.004004941800571482,21.581339578812333,-3.5320810350496856,-74.7296642542326,5.904572015828536,-0.01488415605151261,0.014884156051512734,-0.04248366013071897,-0.04575163398692808,0.03359683794466406,-0.5,0.005928853754940677,0.0,0.027667984189723268,0.0,0.0009881422924901198,-1.970226559709463,-0.05108475504018595,-0.5690355937288496,-0.015222369198364975,-5.0,0.031135531135531136,0.0,0.0,-3.0035859999999985,-2.0064139999999995,0.0,0.0,0.0,0.0,0.0,-1.0,-0.03666666666666667,-0.39009999999999895,-4.617000000000004,-7.105427357601002e-15,0.0,0.0,-17.29598522385743,-14.015650064000056,0.2415787828426552,-112.0,-3.0,-4.0,0.28
04>14,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,67.54200802879836,5.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,42.218308361990864,43.70788714405978,1.4895787820689184,0.005222705638482261,-0.005222705638481928,82.81062413582578,97.40182887982668,-0.008844072662956505,-0.00496634789453973,13.987943155063649,4.622426505920089,85.52957729980756,0.3966182062430335,0.008831743115697677,-0.00883174311569744,0.07222222222222219,0.07777777777777778,-0.039130434782608685,1.5,0.009565217391304335,0.0,-0.04869565217391303,0.0,-0.0017391304347826075,3.023737961737311,0.053240562563462664,1.0176380902050424,0.02197404589901608,65.00000000000001,0.05175983436852999,0.0,0.0,4.673586,2.0064139999999995,1.0,1.0,0.0,0.0,0.0,1.0,0.022857142857142854,0.3901000000000008,7.049999999999998,-7.105427357601002e-15,0.5,0.055555555555555365,22.235511499972745,26.015650064000052,-0.11378217527140765,271.0,2.0,16.0,-0.15
04>16,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,28.160660279870967,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,36.893918450289156,27.99832603947175,-8.895592410817414,0.008701702950390633,-0.008701702950390189,67.23256963648225,67.50057392504277,-0.006254323785102628,-0.0034825219724513024,10.445739475920305,3.2119490603067504,70.68084453903577,-5.788600049274976,0.012487636775658784,-0.012487636775658464,0.03801169590643272,0.04093567251461988,-0.030797101449275388,0.5,-0.0054347826086956754,0.0,-0.025362318840579712,0.0,-0.000905797101449276,2.6900578300769884,0.0768206617188173,0.386425950835279,0.0063451033112691116,5.0,-0.026984126984127,0.0,0.0,3.0035859999999985,2.0064139999999995,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046153846153846045,0.24600000000000002,4.547000000000012,0.0,0.5,0.22222222222222232,17.295985223857315,14.015650064000056,-0.20936827846363396,114.0,3.0,6.0,-0.2
05>32,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,-4.814180739999983,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,119.57887996411148,-63.754960171385854,-183.33384013549733,0.09418099027320492,-0.0941809902732047,146.33290265853236,-31.71954712618549,0.01470514298169598,0.0094601761877611,-22.56911254154818,-10.964294601629517,98.33096510168356,-42.507045308957814,0.04871751117828305,-0.04871751117828276,-0.013636363636363641,-0.009090909090909094,-0.03846153846153855,-1.0,-0.038461538461538436,0.0,0.0,0.0,0.0,0.5730880059236085,0.02204184638167728,0.16180946247673236,0.006223440864489699,-0.020000000000010232,-0.02272727272727271,-2.0,0.0,2.4735859999999974,-0.2735860000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100000000000006,4.409999999999997,-25.78000000000001,0.0,0.0,12.598449252275033,-1.990497935999997,-0.3833414438815126,0.0,0.0,0.0,1.41
05>35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061698627,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,69.59896729560205,-42.08278895363583,-111.68175624923788,0.058088960275331274,-0.058088960275331177,81.396647226364,-25.681478406075826,0.009419069104620759,0.006136536611389326,-6.985917174760601,-7.270938181021164,55.46720276303563,-27.951024421069288,0.03149619749960675,-0.031496197499606526,-0.007142857142857145,-0.004761904761904773,-0.019230769230769384,-0.5,-0.01923076923076916,0.0,0.0,0.0,0.0,0.2734374784168807,0.0105168260929569,0.08026613933164839,0.003087159205063389,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000004,2.2049999999999983,-12.890000000000017,0.0,0.0,6.299224626137517,-0.9952489679999984,-0.1959300713172176,0.0,0.0,0.0,1.08
06>11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061698627,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.671365331528133,8.447663982776023,-14.223701348752115,0.009246606620798736,-0.009246606620798905,36.54355230031013,26.73243156495869,0.01051326254074028,0.006834405001264809,-27.789743737124294,-8.06809896685101,55.78942495789658,-24.67039564359237,0.02888412686711628,-0.02888412686711633,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.3007480475375175,0.011138816575463673,0.07729768110164947,0.00286287707783886,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999998,2.2050000000000125,-12.890000000000017,0.0,0.0,6.2992246261376295,-0.9952489679999984,-0.213082105482874,0.0,0.0,0.0,-0.94
06>33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.190463506169749,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.675625830111244,-14.963125573083856,-61.6387514031951,0.032240169221636805,-0.03224016922163686,61.59993846610297,2.9016020020452515,0.007851042605229147,0.005182493390466003,2.3093443621216068,-6.1863293866110505,73.35087872725933,-41.63837847023186,0.04539116435295909,-0.04539116435295906,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.2677342750169238,0.009916084259886104,0.07528473600712804,0.0027883235558195663,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999998,2.2050000000000125,-12.890000000000017,0.0,0.0,6.2992246261376295,-0.9952489679999416,-0.2130821054828722,0.0,0.0,0.0,0.03
07>03,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,59.233272265152436,5.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,48.78382378285636,71.52673925580154,22.742915472945185,0.0014102448443829019,-0.0014102448443830131,104.25010163867188,156.93655091901576,0.08963927528403197,-0.014874287229512506,-129.47639453532184,18.466856984303924,123.12287548421999,-2.812312445561986,0.01691282963048324,-0.016912829630483267,0.03105590062111802,0.035196687370600416,-0.04601648351648335,1.0,-0.010302197802197877,0.5,-0.0357142857142857,0.5,0.017857142857142856,2.726429885666384,0.044896053228316364,0.5284265369037326,0.004651884488514002,14.0,-0.05111111111111105,0.0,0.0,5.042378999999997,3.6056209999999993,0.0,0.0,0.0,0.0,0.0,1.0,0.025583982202447158,0.6135999999999986,8.757000000000005,-3.6599999999999966,1.0,0.4444444444444429,32.38543680148541,29.015315716000146,-0.18226110267575368,417.0,4.0,10.0,0.0
08>11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061699764,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.49190821346156,8.896508585764423,-9.595399627697132,0.006653374428589931,-0.00665337442858982,30.76842250593268,25.024083311656,0.010762072575521198,0.006908879255831779,-46.500477864717205,-8.16027499741125,20.79892891235261,6.589487886873371,-0.002838745297520928,0.002838745297520984,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.36679967417856574,0.013585173117724671,0.08155349889729724,0.0030204999591591512,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000002,2.2049999999999983,-12.890000000000017,0.0,0.0,6.299224626137517,-0.9952489680000554,-0.21308210548287576,0.0,0.0,0.0,-1.16
08>33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061698627,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.49616871204466,-14.514280970095456,-57.01044968214012,0.029646937029427996,-0.029646937029427774,55.82480867172552,1.1932537487425634,0.008099852640010062,0.005256967645032973,-16.401389765471293,-6.278505417171289,38.36038268171535,-10.378494939766114,0.013668292188321884,-0.013668292188321746,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.3337859016579721,0.0123624408021471,0.0795405538027758,0.002945946437139857,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000002,2.2049999999999983,-12.890000000000017,0.0,0.0,6.299224626137517,-0.9952489679999984,-0.213082105482874,0.0,0.0,0.0,-0.19
10>02,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,71.35491997221607,5.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,60.734728864423005,15.548794156587519,-45.18593470783549,0.029005903705824895,-0.029005903705824895,90.90120320074504,57.851717253628294,-0.0106751542213471,-0.005804228492581415,-7.453079766278903,5.174668024585827,79.58899275016381,-3.305469729153245,0.013178720529846031,-0.013178720529845964,0.08049535603715169,0.08668730650154796,-0.043560606060605966,1.5,0.009469696969697015,0.0,-0.05303030303030298,0.0,-0.0018939393939393962,3.0780297239599115,0.06197813901623084,1.1172575871126025,0.028308974282487187,63.00000000000002,0.029218843172331525,0.0,0.0,4.673586,2.0064139999999995,1.0,1.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.3901000000000001,7.050000000000012,0.0,0.0,-0.2777777777777777,22.23551149997286,26.015650064000052,-0.14419291148500868,225.0,6.0,16.0,-1.63
10>04,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,15.202567291888725,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,42.409534009469894,26.415558228934287,-15.993975780535607,0.014047004565049205,-0.01404700456504926,69.1474569311979,64.54819136681624,-0.007413192239000083,-0.004004941800571482,-21.581339578812333,3.5320810350496856,74.7296642542326,-5.904572015828536,0.01488415605151261,-0.014884156051512734,0.04248366013071897,0.04575163398692808,-0.03359683794466406,0.5,-0.005928853754940677,0.0,-0.027667984189723268,0.0,-0.0009881422924901198,1.970226559709463,0.05108475504018595,0.5690355937288496,0.015222369198364975,5.0,-0.031135531135531136,0.0,0.0,3.0035859999999985,2.0064139999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.03666666666666667,0.39009999999999895,4.617000000000004,7.105427357601002e-15,0.0,0.0,17.29598522385743,14.015650064000056,-0.2415787828426552,112.0,3.0,4.0,-0.28
10>16,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,43.363227571759694,6.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,79.30345245975906,54.413884268406036,-24.88956819135302,0.02274870751543984,-0.022748707515439448,136.38002656768015,132.04876529185898,-0.013667516024102709,-0.007487463773022784,-11.135600102892028,6.744030095356437,145.41050879326838,-11.693172065103509,0.027371792827171396,-0.0273717928271712,0.08049535603715169,0.08668730650154796,-0.06439393939393945,1.0,-0.011363636363636355,0.0,-0.05303030303030298,0.0,-0.0018939393939393962,4.660284389786452,0.12790541675900324,0.9554615445641286,0.02156747250963409,10.0,-0.058119658119658135,0.0,0.0,6.007171999999998,4.012827999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.03205128205128206,0.636099999999999,9.164000000000016,7.105427357601002e-15,0.5,0.22222222222222232,34.591970447714736,28.03130012800011,-0.4509470613062891,226.0,6.0,10.0,-0.48
11>06,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1904635061698627,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-22.671365331528133,-8.447663982776023,14.223701348752115,-0.009246606620798736,0.009246606620798905,-36.54355230031013,-26.73243156495869,-0.01051326254074028,-0.006834405001264809,27.789743737124294,8.06809896685101,-55.78942495789658,24.67039564359237,-0.02888412686711628,0.02888412686711633,0.007142857142857145,0.004761904761904773,0.0185185185185186,0.5,0.01851851851851849,0.0,0.0,0.0,0.0,-0.3007480475375175,-0.011138816575463673,-0.07729768110164947,-0.00286287707783886,0.009999999999990905,0.011616161616161635,1.0,0.0,-1.2367929999999987,0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6049999999999998,-2.2050000000000125,12.890000000000017,0.0,0.0,-6.2992246261376295,0.9952489679999984,0.213082105482874,0.0,0.0,0.0,0.94
11>08,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1904635061699764,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-18.49190821346156,-8.896508585764423,9.595399627697132,-0.006653374428589931,0.00665337442858982,-30.76842250593268,-25.024083311656,-0.010762072575521198,-0.006908879255831779,46.500477864717205,8.16027499741125,-20.79892891235261,-6.589487886873371,0.002838745297520928,-0.002838745297520984,0.007142857142857145,0.004761904761904773,0.0185185185185186,0.5,0.01851851851851849,0.0,0.0,0.0,0.0,-0.36679967417856574,-0.013585173117724671,-0.08155349889729724,-0.0030204999591591512,0.009999999999990905,0.011616161616161635,1.0,0.0,-1.2367929999999987,0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6050000000000002,-2.2049999999999983,12.890000000000017,0.0,0.0,-6.299224626137517,0.9952489680000554,0.21308210548287576,0.0,0.0,0.0,1.16
